EP01: IN
EP01: おっす | 早
EP01: おう　モリモ | 早啊 盛本
EP01: おはよう | 早上好
EP01: おっす | 早
EP01: おう　ミニ | 早啊 仁子
EP01: 何してたの | 你们干什么呢
EP01: じゃれてた | 闹着玩呢
EP01: 谷くん　おはよう | 谷同学 早上好
EP01: おはよう | 早上好
EP01: キモっ | 真恶心
EP01: うっさいな | 烦死了
EP01: どけよ　だんごかち割んぞ | 快让开 不然你的丸子头就遭殃了
EP01: やめて | 别闹
EP01: あんたたち　早くしないと遅刻するよ | 你们快点 不然要迟到了
EP01: いってきまーす | 我出门了
EP01: 鈴木　おはよう | 铃木 早上好
EP01: 東　はよ | 东 早上好
EP01: 平も一緒？ | 平 你俩一起的？
EP01: 一緒じゃねえ | 才不是
EP01: ナベサト　はよ | 渡边 佐藤 早上好
EP01: はよ | 早上好
EP01: おはよ | 早上好
EP01: 山田　よっす | 山田 早
EP01: よう | 早
EP01: 谷くんも　おはよう | 谷同学也是 早上好
EP01: おはよう | 早上好
EP01: 鈴木　声でけえ | 铃木 你好大声
EP01: 挨拶は世界を救う | 问候能拯救世界
EP01: ねえ　今日のまつげ　いい感じじゃない | 看看我今天的睫毛 画得不错吧
EP01: 分からん | 看不出来
EP01: もう　まつエクにすれば | 干脆试试假睫毛呢
EP01: それも考えたけどさあ | 我倒也考虑过
EP01: 私としては　自まつげで乗り切りたいわけよ | 但我还是觉得自己的睫毛更好
EP01: けど　マスカラだと | 可涂了睫毛膏之后
EP01: 汗かいたり　泣いたり　こすれたりしたら取れんじゃん | 流汗 流泪 或是碰到了又会掉
EP01: 結局どのメーカーがいいんだろう　とか思ったりして | 所以到底用哪个品牌比较好呢
EP01: って感じなんだけど | 我现在在纠结这个
EP01: 谷くん　どう思う | 谷同学 你觉得呢
EP01: 僕が知るわけないでしょ | 我怎么会知道
EP01: 谷くん　今日も超塩 | 谷同学 今天也超冷淡
EP01: その　谷くんにむちゃ振りするノリ　なんなの | 你干嘛老喜欢为难谷同学
EP01: しかも　絶対興味ない話題ばっか | 还尽是些他毫无兴趣的话题
EP01: それな | 就是
EP01: いや　いつもばっさり斬ってくれるから　ついつい | 哎呀 他总是一下子结束话题 搞得我就想这样
EP01: マスカラ選びの相談なら　いつでも乗るからね | 不知道怎么选睫毛膏的话 随时找我哦
EP01: いらない | 不用
EP01: また斬られた | 又被拒绝了
EP01: ばっさり | 秒拒呢
EP01: 谷くん　困らせんな | 别打扰人家了
EP01: 谷くん　本当にごめんなさい | 谷同学 实在是对不起
EP01: 正直 | 说实话
EP01: 大好きです | 我超喜欢你
EP01: 英語の宿題　やってきた | 你英语作业做了吗
EP01: 当たりそうなとこの前後だけやった | 我只做了老师可能检查的部分
EP01: いや　全部やりなよ | 倒是做完啊
EP01: 隣の席の谷くん | 邻座的谷同学
EP01: みんなは谷くんのことを　物静かな眼鏡の子ぐらいにしか思ってないみたいだけど | 别人似乎都只觉得他是个文静的眼镜男
EP01: 谷くん　自分の意見　しっかり言うし | 但他敢于表达自己的意见
EP01: ここ　たぶん指摘されるから　直した方がいい | 老师可能会挑这的毛病 最好改一下
EP01: なんで　適当でいいじゃん | 为啥 差不多不就行了吗
EP01: 人によって　態度を変えたりしないし | 不会因为对方是谁而改变态度
EP01: 課題　出して | 该交作业了
EP01: 課題 | 作业
EP01: 回収　サンキュー | 谢谢你来收
EP01: よろしく | 麻烦了
EP01: この前の席替えのときも | 之前换座位的时候也是
EP01: じゃあ　席移動して | 好了 开始换吧
EP01: 隣だ | 就坐我旁边
EP01: やばい　どうしよう | 好紧张 怎么办
EP01: お隣　よろしくね | 今后请多关照哦
EP01: よろしく | 请多关照
EP01: いちばん前の席ってさあ | 虽说坐的第一排
EP01: 黒板見えやすいようで　微妙に見えにくいよね | 实际黑板上反而有看不清的地方呢
EP01: 見えない所あったら教えるから　声掛けてね | 看不清的地方跟我说 我会告诉你的
EP01: 大丈夫だと思う | 应该不用
EP01: そっか | 是吗
EP01: 谷くんは　無駄に人に合わせたりしない | 谷同学不会勉强自己迎合别人
EP01: なんかそういうの　めちゃくちゃ憧れる | 这样的他 令人十分憧憬
EP01: 鈴木は　どっち好き | 铃木 你喜欢哪边
EP01: ごめん　聞いてなかった | 抱歉 我走神了
EP01: おい | 喂
EP01: でもさあ　やっぱ音源より　現場で沸かす人がかっこいいと思うんだよなあ | 不过我觉得比起录音 还是能炒热现场气氛的人更酷呢
EP01: ねっ　谷くん | 对吧 谷同学
EP01: いや　知らないよ | 我真不知道
EP01: 谷くん　鈴木のだる絡み嫌なら　ちゃんと嫌って言いなよ | 谷同学 你要是觉得铃木烦一定要直说
EP01: 別に大丈夫 | 没事
EP01: ほらね　大丈夫 | 看吧 他都说没事了
EP01: よかった | 太好了
EP01: 谷くん　ごめんね | 抱歉 谷同学
EP01: 好きなのに　普通に話しかけたいのに | 我明明很喜欢你 想和你正常说话
EP01: 周りの目が気になる私は | 却因为在意周围人的看法
EP01: 好きだということが絶対バレない接し方しかできない | 只能用这种拐弯抹角的方式来和你相处
EP01: 谷くんに憧れているのに | 明明那么喜欢你
EP01: 私は　谷くんとは真逆の人間なのだ | 我和你却是完全相反的人
EP01: よーし　放課後　みんなで「キンバ」行こう | 好 放学一起去「汉堡王」吧
EP01: ねっ　鈴木も来るよね | 铃木也一起吧
EP01: 宿題　やんないと | 可我得做作业啊
EP01: 行く　行く | 我要去
EP01: 鈴木　宿題写させて | 铃木 作业借我抄一下
EP01: また | 又来
EP01: 助けてくれ | 救救我吧
EP01: もう　しゃあなし | 真没办法
EP01: サンキュー | 谢啦
EP01: 鈴木　昨日のストーリー　笑ったわ | 铃木 你昨天发的动态好好笑
EP01: 鈴木さん　私もフォローしていい | 铃木同学 我也可以关注你吗
